Event	ID	Name			Wwise Object Path	Notes
	464717451	Weapon_cooldown			\Default Work Unit\Player\Weapon\Weapon_cooldown	
	851403683	Drone_hover_loop			\Default Work Unit\Enemy\Drone\Drone_hover_loop	
	899494556	Weapon_shot_1			\Default Work Unit\Player\Weapon\Weapon_shot_1	
	983539040	Play_ImpactOnDirt			\Default Work Unit\Player\Weapon\Impact\Play_ImpactOnDirt	
	1291792009	Set_Game_Parameter_Player_Health			\Default Work Unit\Player\Set_Game_Parameter_Player_Health	
	1357519519	Play_Boom			\Default Work Unit\Player\Weapon\Impact\Play_Boom	
	1632583748	Play_GasLeak			\Default Work Unit\Env\Fire\Play_GasLeak	
	1721627779	Weapon_charge_stop			\Default Work Unit\Player\Weapon\Weapon_charge_stop	
	1724675634	Play_Player_footstep			\Default Work Unit\Player\Play_Player_footstep	
	2073624414	Play_Fire_1			\Default Work Unit\Env\Fire\Play_Fire_1	
	2074073782	Player_Damage			\Default Work Unit\Player\Player_Damage	
	2099880966	Play_Weapon_charge_loop			\Default Work Unit\Player\Weapon\Play_Weapon_charge_loop	
	2134580640	Weapon_shot			\Default Work Unit\Player\Weapon\Weapon_shot	
	2323405115	Play_Landing			\Default Work Unit\Player\Play_Landing	
	2405707301	Enemy_Damage_1			\Default Work Unit\Enemy\Enemy_Damage_1	
	2491293469	Play_Change_Weapon			\Default Work Unit\Player\Weapon\Play_Change_Weapon	
	2652605998	Play_Item_PickUp			\Default Work Unit\Player\Weapon\Play_Item_PickUp	
	2680315389	Jetpack			\Default Work Unit\Player\Jetpack	
	2723833262	Weapon_charge_release			\Default Work Unit\Player\Weapon\Weapon_charge_release	
	3015324718	Play_Fire			\Default Work Unit\Env\Fire\Play_Fire	
	3108093142	Weapon_Charge_buildup			\Default Work Unit\Player\Weapon\Weapon_Charge_buildup	
	3598801546	Enemy_Shot			\Default Work Unit\Enemy\Enemy_Shot	
	3747290063	Play_Jetpack_Pickup			\Default Work Unit\Player\Play_Jetpack_Pickup	
	3765695918	Play_heartbeat			\Default Work Unit\Player\Play_heartbeat	
	3840215476	Play_ImpactOnMetal			\Default Work Unit\Player\Weapon\Impact\Play_ImpactOnMetal	
	3879926930	Drone_death			\Default Work Unit\Enemy\Drone\Drone_death	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Footsteps			
	2473969246	Metal	Footsteps			

Game Parameter	ID	Name			Wwise Object Path	Notes
	215992295	Player_Health			\Default Work Unit\Player_Health	

Effect plug-ins	ID	Name	Type				Notes
	1021328037	Time Stretch (Custom)	Wwise Time Stretch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	31319335	Wind_1	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\Wind_1_A1CCFF58.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Weapon\Charge\Weapon_charge_loop\Wind_1		209676
	46734347	impactMetal_heavy_000	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\impactMetal_heavy_000_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Weapon\Impact\ImpactOnMetal\impactMetal_heavy_000		8004
	81886793	ImpactOnDirt_3	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\ImpactEffect\ImpactOnDirt_3_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Weapon\Impact\ImpactOnDirt\ImpactOnDirt_3		13944
	88959328	Metal_Footstep_2	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\Metal\Metal_Footstep_2_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Footsteps\Metal\Metal_Footstep_2		32428
	107097470	impactPlate_heavy_004	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\impactPlate_heavy_004_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Weapon\Impact\ImpactOnMetal\impactPlate_heavy_004		80600
	110136579	Sand_Footstep_4	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\Sand_Footstep_4_8CB8A47E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Footsteps\Sand\Sand_Footstep_4		36352
	119942600	Sand_Footstep_5	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\Jumping\Sand_Footstep_5_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Jumping\Sand_Footstep_5		39860
	253488685	Change_Weapon	D:\UNi\audio\Audio-Assignment\IMAT3004-Assignment\IMAT3004-Assignment_WwiseProject\.cache\Mac\SFX\Change_Weapon_9F909560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Change_Weapon		40444
